Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Level1_2,Level3,Level4
BROOKLYN,All Grades,2011,Female,64076,681,"26,734.0",23808,13534
BROOKLYN,All Grades,2011,Male,66742,678,"30,136.0",23207,13399
BROOKLYN,All Grades,2012,Female,63185,684,"24,468.0",23380,15337
BROOKLYN,All Grades,2012,Male,65818,681,"27,640.0",23128,15050
MANHATTAN,3,2006,Female,4796,672,"1,295.0",2412,1089
MANHATTAN,3,2006,Male,4842,671,"1,327.0",2471,1044
MANHATTAN,3,2007,Female,4693,681,866.0,2572,1255
MANHATTAN,3,2007,Male,4744,679,960.0,2591,1193
MANHATTAN,3,2008,Female,4367,686,564.0,2729,1074
MANHATTAN,3,2008,Male,4647,682,707.0,2917,1023
MANHATTAN,3,2009,Female,4467,690,369.0,2935,1163
MANHATTAN,3,2009,Male,4725,687,461.0,3155,1109
MANHATTAN,3,2010,Female,4407,691,"1,953.0",1438,1016
MANHATTAN,3,2010,Male,4511,692,"1,954.0",1464,1093
MANHATTAN,3,2011,Female,4438,687,"1,848.0",1867,723
MANHATTAN,3,2011,Male,4564,686,"1,972.0",1847,745
MANHATTAN,3,2012,Female,4459,688,"1,789.0",2048,622
MANHATTAN,3,2012,Male,4742,688,"1,903.0",2109,730
MANHATTAN,4,2006,Female,4657,668,"1,494.0",2207,956
MANHATTAN,4,2006,Male,4988,670,"1,475.0",2405,1108
MANHATTAN,4,2007,Female,4577,674,"1,298.0",2209,1070
MANHATTAN,4,2007,Male,4751,673,"1,354.0",2224,1173
MANHATTAN,4,2008,Female,4591,679,935.0,2433,1223
MANHATTAN,4,2008,Male,4566,679,995.0,2349,1222
MANHATTAN,4,2009,Female,4340,691,676.0,2033,1631
MANHATTAN,4,2009,Male,4582,687,813.0,2127,1642
MANHATTAN,4,2010,Female,4518,687,"1,823.0",1451,1244
MANHATTAN,4,2010,Male,4725,687,"1,878.0",1524,1323
MANHATTAN,4,2011,Female,4467,689,"1,530.0",1632,1305
MANHATTAN,4,2011,Male,4514,689,"1,616.0",1518,1380
MANHATTAN,4,2012,Female,4418,692,"1,390.0",1552,1476
MANHATTAN,4,2012,Male,4490,690,"1,497.0",1524,1469
MANHATTAN,5,2006,Female,4850,660,"1,981.0",2050,819
MANHATTAN,5,2006,Male,4936,658,"2,044.0",2092,800
MANHATTAN,5,2007,Female,4499,670,"1,377.0",2209,913
MANHATTAN,5,2007,Male,4832,668,"1,497.0",2394,941
MANHATTAN,5,2008,Female,4377,676,983.0,2293,1101
MANHATTAN,5,2008,Male,4537,675,"1,102.0",2271,1164
MANHATTAN,5,2009,Female,4328,686,563.0,2220,1545
MANHATTAN,5,2009,Male,4396,685,660.0,2190,1546
MANHATTAN,5,2010,Female,4121,685,"1,610.0",1357,1154
MANHATTAN,5,2010,Male,4424,683,"1,730.0",1581,1113
MANHATTAN,5,2011,Female,4237,687,"1,496.0",1608,1133
MANHATTAN,5,2011,Male,4459,686,"1,681.0",1556,1222
MANHATTAN,5,2012,Female,4232,689,"1,456.0",1478,1298
MANHATTAN,5,2012,Male,4246,688,"1,553.0",1328,1365
MANHATTAN,6,2006,Female,4954,653,"2,208.0",2138,608
MANHATTAN,6,2006,Male,5143,651,"2,449.0",2041,653
MANHATTAN,6,2007,Female,4535,664,"1,649.0",2042,844
MANHATTAN,6,2007,Male,4681,659,"1,844.0",2072,765
MANHATTAN,6,2008,Female,4394,670,"1,173.0",2240,981
MANHATTAN,6,2008,Male,4701,666,"1,475.0",2221,1005
MANHATTAN,6,2009,Female,4300,678,911.0,2205,1184
MANHATTAN,6,2009,Male,4499,675,"1,135.0",2205,1159
MANHATTAN,6,2010,Female,4320,679,"1,899.0",1297,1124
MANHATTAN,6,2010,Male,4357,675,"2,119.0",1197,1041
MANHATTAN,6,2011,Female,4055,683,"1,552.0",1276,1227
MANHATTAN,6,2011,Male,4383,679,"1,908.0",1283,1192
MANHATTAN,6,2012,Female,4185,685,"1,459.0",1295,1431
MANHATTAN,6,2012,Male,4510,681,"1,814.0",1325,1371
MANHATTAN,7,2006,Female,5103,644,"2,805.0",1829,469
MANHATTAN,7,2006,Male,5257,640,"3,028.0",1819,410
MANHATTAN,7,2007,Female,4936,658,"2,074.0",2080,782
MANHATTAN,7,2007,Male,5114,653,"2,397.0",2016,701
MANHATTAN,7,2008,Female,4594,669,"1,229.0",2374,991
MANHATTAN,7,2008,Male,4719,664,"1,519.0",2297,903
MANHATTAN,7,2009,Female,4410,677,723.0,2577,1110
MANHATTAN,7,2009,Male,4663,675,925.0,2598,1140
MANHATTAN,7,2010,Female,4365,675,"1,875.0",1277,1213
MANHATTAN,7,2010,Male,4535,672,"2,161.0",1295,1079
MANHATTAN,7,2011,Female,4328,678,"1,729.0",1285,1314
MANHATTAN,7,2011,Male,4326,677,"1,847.0",1209,1270
MANHATTAN,7,2012,Female,4116,680,"1,592.0",1125,1399
MANHATTAN,7,2012,Male,4414,677,"1,831.0",1225,1358
MANHATTAN,8,2006,Female,5312,644,"3,035.0",1798,479
MANHATTAN,8,2006,Male,5182,640,"3,141.0",1660,381
MANHATTAN,8,2007,Female,5026,649,"2,670.0",1883,473
MANHATTAN,8,2007,Male,5178,644,"2,947.0",1840,391
MANHATTAN,8,2008,Female,4871,660,"1,931.0",2295,645
MANHATTAN,8,2008,Male,5003,655,"2,192.0",2251,560
MANHATTAN,8,2009,Female,4676,670,"1,244.0",2631,801
MANHATTAN,8,2009,Male,4728,666,"1,434.0",2650,644
MANHATTAN,8,2010,Female,4522,676,"2,204.0",1446,872
MANHATTAN,8,2010,Male,4801,671,"2,589.0",1430,782
MANHATTAN,8,2011,Female,4416,678,"1,845.0",1638,933
MANHATTAN,8,2011,Male,4643,674,"2,175.0",1617,851
MANHATTAN,8,2012,Female,4426,680,"1,788.0",1691,947
MANHATTAN,8,2012,Male,4425,677,"1,980.0",1582,863
MANHATTAN,All Grades,2006,Female,29672,656,"12,818.0",12434,4420
MANHATTAN,All Grades,2006,Male,30348,655,"13,464.0",12488,4396
MANHATTAN,All Grades,2007,Female,28266,665,"9,934.0",12995,5337
MANHATTAN,All Grades,2007,Male,29300,662,"10,999.0",13137,5164
MANHATTAN,All Grades,2008,Female,27194,673,"6,815.0",14364,6015
MANHATTAN,All Grades,2008,Male,28173,670,"7,990.0",14306,5877
MANHATTAN,All Grades,2009,Female,26521,682,"4,486.0",14601,7434
MANHATTAN,All Grades,2009,Male,27593,679,"5,428.0",14925,7240
MANHATTAN,All Grades,2010,Female,26253,682,"11,364.0",8266,6623
MANHATTAN,All Grades,2010,Male,27353,680,"12,431.0",8491,6431
MANHATTAN,All Grades,2011,Female,25941,684,"10,000.0",9306,6635
MANHATTAN,All Grades,2011,Male,26889,682,"11,199.0",9030,6660
MANHATTAN,All Grades,2012,Female,25836,686,"9,474.0",9189,7173
MANHATTAN,All Grades,2012,Male,26827,684,"10,578.0",9093,7156
QUEENS,3,2006,Female,9314,684,"1,542.0",4703,3069
